Date,Open,High,Low,Close,AdjClose,Volume
11/28/2018,25625,25625,25400,25450,24557.66211,18137500
11/29/2018,25500,26200,25500,26200,25281.36523,22769500
11/30/2018,26200,26200,25775,26050,25136.62695,35606900
12/3/2018,26075,26975,25500,25800,24976.88867,20184600
12/4/2018,25800,26475,25775,26200,25364.12695,23846500
12/5/2018,25600,26150,25575,26150,25315.72266,14998800
12/6/2018,25850,26300,25600,26300,25460.9375,15090000
12/7/2018,25950,26050,25800,25950,25122.10352,14214000
12/10/2018,25600,26025,25600,25900,25073.69922,16244200
12/11/2018,25650,26000,25625,25800,24976.88867,18603400
12/12/2018,25950,25950,25650,25825,25001.0918,24324600
12/13/2018,26000,26025,25725,25825,25001.0918,16856100
12/14/2018,25800,25900,25700,25825,25001.0918,36887000
12/17/2018,25925,26000,25750,25825,25001.0918,20287700
12/18/2018,25500,25575,24900,25325,24517.04297,26407800
12/19/2018,25200,26150,25200,26150,25315.72266,20444100
12/20/2018,25600,25850,25350,25575,24759.06641,18891000
12/21/2018,25200,25875,25200,25850,25025.29492,17995900
12/24/2018,25850,25850,25850,25850,25025.29492,0
12/25/2018,25850,25850,25850,25850,25025.29492,0
12/26/2018,25850,26125,25700,26125,25291.51953,13302300
12/27/2018,26200,26275,25900,25975,25146.30469,10053100
12/28/2018,25975,26200,25900,26000,25170.50781,10893500
12/31/2018,26000,26000,26000,26000,25170.50781,0
1/1/2019,26000,26000,26000,26000,25170.50781,0
1/2/2019,26000,26225,26000,26200,25364.12695,7191200
1/3/2019,26000,26100,25575,25900,25073.69922,14471600
1/4/2019,25875,26025,25625,26025,25194.71094,10293000
1/7/2019,26325,26625,26225,26225,25388.33008,14687600
1/8/2019,26150,26600,26025,26200,25364.12695,13249500
1/9/2019,26500,26600,26125,26275,25436.73633,16974200
1/10/2019,26500,26500,25950,26275,25436.73633,22862900
1/11/2019,26400,26500,26175,26250,25412.53125,16965300
1/14/2019,26100,26175,25750,26000,25170.50781,17509500
1/15/2019,26150,26300,25950,26300,25460.9375,17552600
1/16/2019,26300,26425,26225,26425,25581.94922,18994500
1/17/2019,26450,26650,26425,26650,25799.76953,18330800
1/18/2019,26700,27125,26575,27125,26259.61523,20174700
1/21/2019,27125,28000,26950,27725,26840.47461,17423600
1/22/2019,28000,28100,27250,28000,27106.70117,18381400
1/23/2019,28000,28000,27375,27500,26622.65234,19702500
1/24/2019,27150,27425,26775,27300,26429.0332,21356200
1/25/2019,27000,27600,27000,27500,26622.65234,13788800
1/28/2019,27575,27575,27375,27475,26598.44922,13940800
1/29/2019,27225,27750,27200,27700,26816.26953,15535800
1/30/2019,27800,27800,27475,27600,26719.46094,15257000
1/31/2019,27600,28200,27600,28175,27276.11719,27180900
2/1/2019,28400,28750,27800,28175,27276.11719,11543900
2/4/2019,28175,28175,27500,27500,26622.65234,22769300
2/5/2019,27500,27500,27500,27500,26622.65234,0
2/6/2019,27500,27700,27475,27675,26792.06836,24399300
2/7/2019,27675,27675,27525,27650,26767.86523,12739500
2/8/2019,27650,27675,27500,27600,26719.46094,13053700
2/11/2019,27600,27650,27300,27475,26598.44922,7527800
2/12/2019,27650,27650,27250,27300,26429.0332,19176700
2/13/2019,27300,27450,27050,27100,26235.41211,20623100
2/14/2019,27025,27025,26900,26900,26041.79492,21747700
2/15/2019,26800,27050,26675,26800,25944.98633,16268000
2/18/2019,27050,27500,27050,27400,26525.84375,12598200
2/19/2019,27100,27400,26900,26900,26041.79492,12893800
2/20/2019,27250,27975,27200,27500,26622.65234,17916600
2/21/2019,27700,27800,27350,27525,26646.85547,10912300
2/22/2019,27375,27625,27300,27450,26574.24805,9654300
2/25/2019,27450,27500,27275,27450,26574.24805,9577400
2/26/2019,27500,27775,27475,27775,26888.88086,19689200
2/27/2019,27825,27850,27725,27825,26937.28516,15703900
2/28/2019,27850,27900,27550,27575,26695.25977,19873200
3/1/2019,27825,28000,27675,27700,26816.26953,14517900
3/4/2019,27600,27700,27575,27675,26792.06836,12782100
3/5/2019,27500,27525,27200,27475,26598.44922,9299900
3/6/2019,27775,27775,27450,27450,26574.24805,7555400
3/7/2019,27450,27450,27450,27450,26574.24805,0
3/8/2019,27725,27850,27200,27200,26332.22266,12225200
3/11/2019,27650,27650,27300,27525,26646.85547,6493800
3/12/2019,27700,27700,27250,27500,26622.65234,8035700
3/13/2019,27250,27525,27250,27500,26622.65234,3544400
3/14/2019,27250,27475,27250,27400,26525.84375,8219200
3/15/2019,27600,27725,27425,27700,26816.26953,8351900
3/18/2019,27775,27800,27675,27750,26864.67578,8558200
3/19/2019,27700,27725,27425,27450,26574.24805,10305400
3/20/2019,27700,27775,27325,27350,26477.43945,8477700
3/21/2019,27450,27600,27325,27375,26501.64063,7973200
3/22/2019,27325,27500,27325,27425,26550.04492,5920200
3/25/2019,27200,27500,27200,27275,26404.83008,4610900
3/26/2019,27400,27550,27275,27350,26477.43945,3979100
3/27/2019,27550,27550,27300,27425,26550.04492,3560900
3/28/2019,27300,27425,27125,27350,26477.43945,6437500
3/29/2019,27575,27650,27300,27550,26671.05859,7246800
4/1/2019,27750,27750,27400,27500,26622.65234,4357200
4/2/2019,27650,27850,27400,27500,26622.65234,7370600
4/3/2019,27500,27500,27500,27500,26622.65234,0
4/4/2019,27700,27800,27450,27700,26816.26953,9622400
4/5/2019,27800,27800,27625,27650,26767.86523,4382700
4/8/2019,27525,27700,27250,27400,26525.84375,7982000
4/9/2019,27675,27750,27575,27675,26792.06836,5889400
4/10/2019,27750,27775,27575,27625,26743.66406,3901700
4/11/2019,27800,27800,27400,27400,26525.84375,5071200
4/12/2019,27300,27550,27300,27500,26622.65234,3715400
4/15/2019,27800,27850,27450,27525,26646.85547,13630400
4/16/2019,27475,27525,27375,27475,26598.44922,14203400
4/17/2019,27475,27475,27475,27475,26598.44922,0
4/18/2019,28000,29025,27900,28125,27227.71289,25866500
4/19/2019,28125,28125,28125,28125,27227.71289,0
4/22/2019,28125,28400,27925,28125,27227.71289,12567500
4/23/2019,28400,28550,27975,28150,27251.91602,9730800
4/24/2019,28200,28200,28000,28150,27501.03516,9395000
4/25/2019,27675,28100,27625,27975,27330.06836,12296500
4/26/2019,27925,28225,27850,28100,27452.1875,13240900
4/29/2019,28050,28475,27975,28425,27769.69727,13096100
4/30/2019,28350,28800,28350,28750,28087.20313,21521500
5/1/2019,28750,28750,28750,28750,28087.20313,0
5/2/2019,29000,29050,28375,28425,27769.69727,16175900
5/3/2019,28400,28750,28075,28375,27720.84766,11648900
5/6/2019,28000,28300,27975,28100,27452.1875,7329900
5/7/2019,28375,28550,28250,28300,27647.57617,11835400
5/8/2019,28000,28500,27975,28500,27842.9668,11812400
5/9/2019,28500,28500,28125,28150,27501.03516,25327300
5/10/2019,28050,28400,28000,28050,27403.3418,15226100
5/13/2019,28400,28475,28000,28050,27403.3418,12744100
5/14/2019,27800,28150,27475,27475,26841.59766,22960100
5/15/2019,27775,27775,27225,27300,26670.63086,14413000
5/16/2019,27300,27400,26400,26400,25791.37891,17587800
5/17/2019,26400,26550,25900,25900,25302.90625,14841400
5/20/2019,25900,26950,25700,26900,26279.85352,10952900
5/21/2019,27350,27475,27000,27300,26670.63086,19474200
5/22/2019,27650,27650,27000,27300,26670.63086,7703800
